Package,Built
stringr,3.5.0
summarytools,3.5.1
survey,3.5.2
tables,3.5.1
tabulizer,3.5.1
tabulizerjars,3.5.0
testthat,3.5.1
testthis,3.5.1
TH.data,3.5.1
threejs,3.5.1
tibble,3.5.2
tidymodels,3.5.2
tidyposterior,3.5.2
tidypredict,3.5.2
tidyr,3.5.1
tidyselect,3.5.1
tidytext,3.5.1
tidyverse,3.5.2
timeDate,3.5.1
tinytex,3.5.2
TMB,3.5.1
tokenizers,3.5.1
usethis,3.5.1
utf8,3.5.0
uuid,3.5.0
viridis,3.5.1
viridisLite,3.5.0
webshot,3.5.1
whisker,3.5.0
whoami,3.5.1
withr,3.5.0
writexl,3.5.2
xfun,3.5.1
xlsx,3.5.0
xlsxjars,3.5.0
xml2,3.5.1
xopen,3.5.1
xtable,3.5.1
xts,3.5.1
yaml,3.5.1
yardstick,3.5.1
zip,3.5.0
zoo,3.5.1
translations,3.5.2
